id,key,value,type
24576740,name,Shanti Path,regular
24576740,oneway,yes,regular
24576744,highway,tertiary,regular
24576748,highway,secondary,regular
24576748,name,Vinay Marg,regular
24576752,highway,secondary,regular
24576752,name,Vinay Marg,regular
24576752,oneway,yes,regular
24576754,highway,tertiary,regular
24576754,name,Brigadiar Hoshiar Singh Marg,regular
24576754,oneway,yes,regular
24576757,highway,residential,regular
24576760,highway,residential,regular
24577095,highway,secondary,regular
24577095,name,Ashoka Road,regular
24577096,highway,tertiary,regular
24577096,name,Janpath,regular
24577096,old_name,Queensway,regular
24577097,highway,tertiary,regular
24577097,name,Janpath,regular
24577097,old_name,Queensway,regular
24577101,highway,secondary,regular
24577101,junction,roundabout,regular
24577101,name,Raisina Road,regular
24577101,oneway,yes,regular
24577102,highway,secondary,regular
24577102,name,Red Cross Road,regular
24577102,oneway,yes,regular
24577105,highway,tertiary,regular
24577105,oneway,yes,regular
24577106,access,no,regular
24577106,highway,tertiary,regular
24577106,name,(closed),regular
24577106,oneway,yes,regular
24577108,highway,unclassified,regular
24577108,name,RP Lane,regular
24577109,highway,tertiary,regular
24577109,name,Firoz Shah Road,regular
24577110,highway,tertiary,regular
24577110,junction,roundabout,regular
24577110,name,Akbar Road,regular
24577111,highway,tertiary,regular
24577111,name,Maulana Azad Road,regular
24577112,highway,unclassified,regular
24577112,name,Jaswant Singh Road,regular
24577112,oneway,yes,regular
24577113,highway,unclassified,regular
24577113,name,Jaswant Singh Road,regular
24577113,oneway,yes,regular
24577114,highway,unclassified,regular
24577114,name,Jaswant Singh Road,regular
24577115,highway,unclassified,regular
24577115,name,Jaswant Singh Road,regular
24577115,oneway,yes,regular
24577116,highway,unclassified,regular
24577116,name,Jaswant Singh Road,regular
24577116,oneway,yes,regular
24577117,highway,unclassified,regular
24577117,name,Jaswant Singh Road,regular
24577118,highway,residential,regular
24577120,highway,residential,regular
24577121,highway,secondary,regular
24577121,junction,roundabout,regular
24577121,motorroad,no,regular
24577121,name,Kasturba Gandhi Marg,regular
24577121,oneway,yes,regular
24577128,highway,secondary,regular
24577128,name,Raisina Road,regular
24577128,oneway,yes,regular
24577129,access,no,regular
24577129,highway,service,regular
24577129,oneway,yes,regular
24577131,highway,secondary,regular
24577131,name,Rafi Ahmed Kidwai Marg,regular
24577358,highway,residential,regular
24577358,oneway,yes,regular
24577359,highway,residential,regular
24577359,oneway,yes,regular
24577360,highway,residential,regular
24577361,highway,residential,regular
24577363,highway,tertiary,regular
24577363,name,Humayun Road,regular
24577364,highway,tertiary,regular
24577364,name,Humayun Road,regular
24577364,oneway,yes,regular
24577365,highway,tertiary,regular
24577365,name,Humayun Road,regular
24577365,oneway,yes,regular
24577366,highway,tertiary,regular
24577366,name,Humayun Road,regular
24577367,highway,tertiary,regular
24577367,name,Humayun Road,regular
24577368,highway,residential,regular
24577369,highway,unclassified,regular
24577369,name,Pandara Road,regular
24577369,oneway,yes,regular
24577370,highway,unclassified,regular
24577370,name,Pandara Road,regular
24577370,oneway,yes,regular
24577371,highway,unclassified,regular
24577371,name,Pandara Road,regular
24577372,highway,unclassified,regular
24577372,name,Pandara Road,regular
24577372,oneway,yes,regular
24577378,highway,secondary,regular
24577378,name,Prithviraj Road,regular
24577378,oneway,yes,regular
24577379,highway,secondary,regular
24577379,junction,roundabout,regular
24577379,name,Prithviraj Road,regular
24577379,oneway,yes,regular
24577381,highway,unclassified,regular
24577381,name,Mansigh Road,regular
24577382,highway,tertiary,regular
24577382,junction,roundabout,regular
24577382,name,Motilal Nehru Place,regular
24577382,oneway,yes,regular
24577383,highway,tertiary,regular
24577383,name,Janpath,regular
24577383,oneway,yes,regular
24577384,highway,tertiary,regular
24577384,name,Janpath,regular
24577384,oneway,yes,regular
24577385,highway,tertiary,regular
24577385,name,Akbar Road,regular
24577386,highway,tertiary,regular
24577386,oneway,yes,regular
24577387,foot,yes,regular
24577387,highway,tertiary,regular
24577387,name,Motilal Nehru Marg,regular
24577388,highway,tertiary,regular
24577388,oneway,yes,regular
24577389,highway,tertiary,regular
24577389,oneway,yes,regular
24577390,highway,tertiary,regular
24577390,oneway,yes,regular
24577391,highway,secondary,regular
24577391,junction,roundabout,regular
24577392,highway,tertiary,regular
24577392,name,Motilal Nehru Marg,regular
24577393,highway,tertiary,regular
24577393,name,Motilal Nehru Marg,regular
24577393,oneway,yes,regular
24577394,highway,tertiary,regular
24577394,name,Motilal Nehru Marg,regular
24577394,oneway,yes,regular
24577395,highway,tertiary,regular
24577395,name,Motilal Nehru Marg,regular
24577396,highway,secondary,regular
24577396,junction,roundabout,regular
24577401,highway,secondary,regular
24577401,name,Kamraj Road,regular
24577401,oneway,yes,regular
24577402,highway,unclassified,regular
24577402,oneway,yes,regular
24577403,highway,unclassified,regular
24577403,oneway,yes,regular
24577404,highway,unclassified,regular
24577405,highway,tertiary,regular
24577405,oneway,yes,regular
24577406,highway,tertiary,regular
24577406,oneway,yes,regular
24577407,highway,secondary,regular
24577407,oneway,yes,regular
24577408,highway,secondary,regular
24577408,oneway,yes,regular
24577409,highway,residential,regular
24577412,highway,residential,regular
24577413,highway,residential,regular
24577414,highway,residential,regular
24577415,highway,residential,regular
24577416,highway,residential,regular
24577417,highway,residential,regular
24577418,highway,residential,regular
24577418,name,Justice S. B. Road,regular
24577478,highway,secondary,regular
24577478,name,Sansad Marg,regular
24577478,oneway,yes,regular
24577480,highway,unclassified,regular
24577480,name,Radial Road 1,regular
24577480,oneway,yes,regular
24577482,highway,unclassified,regular
24577482,name,Radial Road 7,regular
24577482,oneway,yes,regular
24577483,highway,unclassified,regular
24577483,name,Radial Road 6,regular
24577483,oneway,yes,regular
24577486,highway,unclassified,regular
24577486,name,Radial Road 4,regular
24577486,oneway,yes,regular
24577487,highway,unclassified,regular
24577487,name,Radial Road 3,regular
24577487,oneway,yes,regular
24577488,highway,unclassified,regular
24577488,name,Radial Road 2,regular
24577488,oneway,yes,regular
24582917,highway,residential,regular
24582918,highway,service,regular
24582918,name,Connaught Lane,regular
24582918,oneway,no,regular
24582918,service,alley,regular
24582919,highway,residential,regular
24582920,highway,unclassified,regular
24582921,highway,residential,regular
24583320,highway,secondary,regular
24583320,junction,roundabout,regular
24583320,name,Gol Dakkhana Roundabout,regular
24583320,old_name,Alexandra Place,regular
24583321,highway,secondary,regular
24583321,name,Ashok Road,regular
24583321,oneway,yes,regular
24583322,highway,secondary,regular
24583322,name,Ashok Road,regular
24583322,oneway,yes,regular
24583323,highway,secondary,regular
24583323,name,Ashok Road,regular
24583324,highway,secondary,regular
24583324,junction,roundabout,regular
24583324,name,Patel Chowk,regular
24583327,highway,secondary,regular
24583327,name,Sansad Marg,regular
